timestamp,interval_number,trial_number,is_dynamic_obstacle_present,degree,level,feedback_modality,right_index_button,left_index_button,right_thumbstick_x,right_thumbstick_y,number_of_collision,head_position,head_rotation,collision_position
5.93889,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,103.56)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.0069,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,104.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.07213,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,105.36)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.15183,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,106.86)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.21743,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,107.76)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.2972,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,108.96)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.36288,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,109.86)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.44153,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,111.06)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.50797,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,111.96)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.57745,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,113.16)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.63985,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,114.06)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.71913,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,114.66)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.7909,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,116.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
6.85691,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,117.36)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
6.92512,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,118.26)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
6.99952,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,119.46)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.06497,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,120.36)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.1491,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,121.56)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.21889,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,122.76)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.29255,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,123.66)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.37273,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,125.16)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.44323,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,126.06)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.51929,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,127.26)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.58991,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,128.46)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.67042,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,129.66)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.73678,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,130.56)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.81673,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,3,"(0.00,0.76,131.76)","(0.00,0.00,0.00)","(0.77,1.44,117.70)"
7.88385,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,132.66)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
7.95838,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,133.86)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.02628,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,134.76)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.09323,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,135.96)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.16067,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,136.86)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.24071,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,138.06)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.31865,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,139.26)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.38715,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,140.16)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.45424,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,141.36)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.51753,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,142.26)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.60029,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,143.46)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.67286,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,144.66)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.78425,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,146.16)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.85611,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,147.36)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.92148,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,148.26)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
8.98896,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,149.16)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
